"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"ANN","ANN INC.","38.55","1824352921.5","n/a","1991","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/ann",
"NLY","Annaly Capital Management Inc","17.54","17096609321.8","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nly",
"NLY^A","Annaly Capital Management Inc","25.9899","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^a",
"NLY^C","Annaly Capital Management Inc","25.47","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nly^c",
"ANNB","Annapolis Bancorp Inc.","7.14","28383841.92","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/annb",
"BNNY","Annie&#39;s, Inc.","45.25","771970022.75","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bnny",
"ANSS","ANSYS, Inc.","71.93","6641588000.71","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","3.8601","422003718.6156","n/a","2002","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","0.9125","72189581.375","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ANH","Anworth Mortgage Asset  Corporation","6.92","963186897.36","n/a","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/anh",
"ANH^A","Anworth Mortgage Asset  Corporation","26.4899","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^a",
"ANH^B","Anworth Mortgage Asset  Corporation","26","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/anh^b",
"AOL","AOL Inc.","33.44","3142459761.76","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/aol",
"AON","Aon plc","51.96","16752243922.32","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.256","12664278.272","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"APA","Apache Corporation","89.04","34833816277.68","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apa",
"APA^D","Apache Corporation","50.43","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apa^d",
"AIV","Apartment Investment and Management Company","27.12","3947158704","n/a","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiv",
"AIV^Z","Apartment Investment and Management Company","27.3901","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aiv^z",
"APAGF","Apco Oil and Gas International Inc.","16.57","487841346.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apagf",
"ATNY","API Technologies Corp.","3.01","164841497.17","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"APOG","Apogee Enterprises, Inc.","16.61","470752414.66","n/a","1971","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
